,PC1,PC2,cluster,label,cluster_name
127,1.9172216446572403,-0.5913647346095461,8,marine,Minty & Floral
128,3.088777029575486,-0.8334075090795753,8,anise,Minty & Floral
129,2.4198069600470267,-1.4558332225355128,8,orangeflower,Minty & Floral
130,3.9082504321961022,0.22296438690048886,3,licorice,Fruity & Floral
131,1.4005987011727485,-1.782171071360436,4,peppery,Camphoraceous & Medicinal
132,-2.2303370820760877,2.500921083837787,9,cabbage,Roasted & Sulfurous
133,-3.9497146556332163,1.7084676394322527,1,hazelnut,Savory & Meaty
134,3.6423406400335585,0.3149105565521766,3,plastic,Fruity & Floral
135,-2.212794510392845,-2.5900990063463047,2,ambergris,Smoky & Woody
136,2.954604297801599,1.5379481509508508,6,sweaty,Fruity & Tropical
137,3.2299186174594867,-0.8038520608627323,3,gardenia,Fruity & Floral
138,3.2928698340859444,-1.094035490679645,3,neroli,Fruity & Floral
139,-1.7884614300820134,-2.5617096444386274,2,patchouli,Smoky & Woody
140,2.4101672577244746,-1.0282036651672997,8,cinnamyl,Minty & Floral
141,2.305493308172246,-0.1413976491072992,8,watery,Minty & Floral
142,3.614357786584467,-0.5655367804550376,3,orchid,Fruity & Floral
143,-0.8199324947207853,-0.9101043425459258,2,tonka,Smoky & Woody
144,3.956964029987703,-1.1746371414258543,3,cumin,Fruity & Floral
145,4.0802421086223335,-0.9754007168666868,3,balsam,Fruity & Floral
146,3.343411543522175,-0.09419109197648368,3,narcissus,Fruity & Floral
147,-1.132743382485943,2.4894122834769243,9,chicken,Roasted & Sulfurous
148,3.3703643716958642,-0.6070677820910017,3,dusty,Fruity & Floral
149,-2.227538978093284,2.9314967798412312,9,potato,Roasted & Sulfurous
150,-5.052597135615274,2.1523209323342694,1,meaty roasted meaty,Savory & Meaty
151,2.7180815968089553,2.507744682650351,6,fruit tropical fruit,Fruity & Tropical
152,0.4923497167725653,-2.2650793203452864,4,lime,Camphoraceous & Medicinal
153,-0.32598309756849386,1.8618030404000414,5,nut skin,Burnt & Earthy
154,1.285256592094023,0.1413605568114058,0,rooty,Nutty & Dairy
155,2.162622558425261,1.6321968402048468,0,galbanum,Nutty & Dairy
156,3.1990363699136704,0.2235961292415639,3,foliage,Fruity & Floral
157,-5.157985743728987,-0.1655356201693391,7,ammoniacal,Odorless & Sulfurous
158,2.8525088983501714,-1.3599614250095753,8,aromatic,Minty & Floral
159,4.273204967334343,-0.5201341592991456,3,tea,Fruity & Floral
160,-2.085396573863265,-0.08485231503050679,2,maple,Smoky & Woody
161,1.781615109269944,1.3170076323040958,0,fusel,Nutty & Dairy
162,3.3394904846229916,0.9041959420764492,6,tutti frutti,Fruity & Tropical
163,-0.19406689640621602,2.602260223552495,5,tomato,Burnt & Earthy
164,-1.930220642348765,1.9840231493031015,9,rubbery,Roasted & Sulfurous
165,2.1402430131872974,2.3936084684739614,0,radish,Nutty & Dairy
166,1.511034182914176,0.7343307376267034,0,solvent,Nutty & Dairy
167,2.237772931199452,-1.2146529421696795,8,ylang,Minty & Floral
168,2.299019194856055,-1.4446348660362254,8,lilac,Minty & Floral
169,-3.2180606106309155,1.5902271512353874,9,toasted,Roasted & Sulfurous
170,-4.612389058804788,1.0836681218406072,1,popcorn,Savory & Meaty
171,3.2394373673730135,1.3783701084794073,6,ketonic,Fruity & Tropical
172,-4.234905081286619,1.8627735048953824,1,onion green onion,Savory & Meaty
173,0.8390030501651577,1.572300593021769,0,pepper bell pepper,Nutty & Dairy
174,-2.148953524930364,2.1262819135787328,9,horseradish,Roasted & Sulfurous
175,0.4492184053183159,-2.3902715608193805,4,carnation,Camphoraceous & Medicinal
176,1.1489143093787082,1.3867525455536411,0,fungal,Nutty & Dairy
177,1.6162754017168184,-1.107755983709207,8,naphthyl,Minty & Floral
178,2.0269386443099187,1.410218170387678,0,violet leaf,Nutty & Dairy
179,0.9460907467839313,-1.8904345818092434,4,fir needle,Camphoraceous & Medicinal
180,2.6251584431776123,-1.0311369998795208,8,magnolia,Minty & Floral
181,3.0505426815728676,0.09625145011213902,3,fruit dried fruit,Fruity & Floral
182,2.045413838618285,-0.05504304301583121,8,almond bitter almond,Minty & Floral
